
Dijkstra without Heap
Sparse		Dense
Max Bandwidth	Time in Seconds	Max Bandwidth	Time in Seconds
727	1.7077509999999165	998	5.371633000000202
616	1.597385999999915	999	6.102577999999994
449	1.5781919999999445	999	6.103116000000227
641	1.5683599999997568	1000	5.609461999999894
715	1.5912530000000515	998	6.488815000000159
608	1.8733330000000024	997	5.683042999999998
760	1.9238050000003568	998	6.442583999999897
746	1.9615770000000339	997	5.188795000000027
790	1.9669910000002346	999	5.2155549999997675
539	1.9538539999998648	999	5.4271889999999985
824	1.604968000000099	999	5.205953000000591
634	1.5918119999996634	998	5.374428999999509
711	1.769198999999844	996	5.072343000000728
738	1.7018699999998717	998	5.602020999999695
655	1.6289810000002944	999	5.36000199999944
797	1.6075840000003154	999	5.596540999999888
565	1.5443050000003495	998	5.149535999999898
694	1.6327650000002905	999	5.1503929999998945
615	1.6576709999999366	999	5.167586000000483
463	1.63054000000011	998	5.093168999999762
695	1.5994000000000597	998	5.140959999999723
684	1.6217839999999342	999	5.274128000000019
769	1.5991880000001402	999	5.160883999999896
564	1.5907250000000204	998	5.374552999999651
815	1.6304220000001806	998	5.191275000000132

Dijkstra with Heap
Sparse		Dense
Max Bandwidth	Time in Seconds	Max Bandwidth	Time in Seconds
727	0.1888739999999416	998	2.8833260000001246
616	0.16093599999976504	999	3.2730209999999715
449	0.10065100000019811	999	3.440016999999898
641	0.14407100000016726	1000	3.156264000000192
715	0.1623770000001059	998	3.4815639999997074
608	0.21454799999992247	997	3.1138519999999517
760	0.2578680000001441	998	3.6000789999998233
746	0.23407399999996414	997	2.8141359999999622
790	0.20971499999996013	999	2.7056750000001557
539	0.2284709999998995	999	2.6703209999996034
824	0.17790199999990364	999	2.640457999999853
634	0.17529199999989942	998	2.627042000000074
711	0.16960300000027928	996	2.5215729999999894
738	0.19920600000023114	998	2.889228000000003
655	0.14860399999997753	999	2.6392659999992247
797	0.1868640000002415	999	2.8451599999998507
565	0.12470099999973172	998	2.5971019999997225
694	0.1811999999999898	999	2.6997950000004494
615	0.13584799999989627	999	2.6972100000002683
463	0.1757130000005418	998	2.648927000000185
695	0.1539149999998699	998	2.98280799999975
684	0.1766509999997652	999	2.742076999999881
769	0.17037799999980052	999	2.642225000000508
564	0.17456899999979214	998	2.799648000000161
815	0.17852700000003097	998	2.7373609999995097

Kruskals
Sparse		Dense
Max Bandwidth	Time in Seconds	Max Bandwidth	Time in Seconds
727	0.30868099999997867	998	74.610498
616	0.2983139999996638	999	74.39254399999982
449	0.2964430000001812	999	75.0583029999998
641	0.2926520000000892	1000	73.31423599999971
715	0.29090599999972255	998	75.82956800000011
608	0.385913999999957	997	75.25448700000015
760	0.404109999999946	998	69.02289199999996
746	0.3654999999998836	997	65.64624800000001
790	0.38671500000009473	999	67.83014400000002
539	0.3795860000000175	999	65.28432699999985
824	0.3219610000001012	999	65.61592699999983
634	0.2963069999996151	998	66.95346700000027
711	0.2986510000000635	996	66.77537799999936
738	0.34725299999990966	998	65.92252800000006
655	0.289984000000004	999	65.59115600000041
797	0.315349999999853	999	66.57158299999992
565	0.2935250000000451	998	64.21789100000024
694	0.31412400000044727	999	62.95692700000018
615	0.29990799999995943	999	63.932190000000446
463	0.2976089999992837	998	63.908503000000564
695	0.3187600000001112	998	65.70820499999991
684	0.2963760000002367	999	64.27918300000056
769	0.29311799999959476	999	65.70567099999971
564	0.2947920000005979	998	65.541741
815	0.2948309999992489	998	65.62377300000026

Kruskals (using python sort)
Sparse		Dense
Max Bandwidth	Time in Seconds	Max Bandwidth	Time in Seconds
727	0.06939300000021831	998	10.905395000000226
616	0.0637429999997039	999	10.755407999999989
449	0.06359599999996135	999	10.80017399999997
641	0.06176199999981691	1000	10.969076999999743
715	0.061089999999694555	998	10.528653000000304
608	0.08852899999965302	997	10.572297000000162
760	0.09425299999975323	998	9.546038999999837
746	0.08120799999960582	997	10.034514999999828
790	0.08509800000001633	999	9.578359999999975
539	0.07888299999967785	999	9.368367000000035
824	0.0694020000000819	999	9.501059000000168
634	8.883054999999786	998	9.669256000000132
711	0.07076899999992747	996	9.58394799999951
738	0.06894599999986895	998	9.516200000000026
655	0.0649569999995947	999	9.409623999999894
797	0.06938400000035472	999	9.230477999999493
565	0.06661299999996118	998	9.164176000000225
694	0.07383500000014465	999	9.386083999999755
615	0.06597099999999045	999	9.294578000000001
463	0.0656989999997677	998	9.153182999999444
695	0.06912000000011176	998	9.50814100000025
684	0.07103900000038266	999	9.159191000000646
769	0.06368699999984528	999	10.011006999999154
564	0.06297300000005635	998	9.652291000000332
815	0.06517900000017107	998	9.793235999999524
